Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Sun Nov 14 2010,9:30p,Phoenix Suns,121,Los Angeles Lakers,116,Box Score,,18997,,0
Mon Nov 15 2010,7:00p,Minnesota Timberwolves,110,Charlotte Bobcats,113,Box Score,,11211,,1
Mon Nov 15 2010,7:00p,Memphis Grizzlies,72,Orlando Magic,89,Box Score,,18846,,1
Mon Nov 15 2010,8:30p,New Orleans Hornets,95,Dallas Mavericks,98,Box Score,,19712,,1
Mon Nov 15 2010,9:00p,Denver Nuggets,94,Phoenix Suns,100,Box Score,,17744,,1
Mon Nov 15 2010,9:00p,Oklahoma City Thunder,115,Utah Jazz,108,Box Score,,19911,,0
Mon Nov 15 2010,10:30p,Detroit Pistons,97,Golden State Warriors,101,Box Score,,19123,,1
Mon Nov 15 2010,10:30p,New Jersey Nets,110,Los Angeles Clippers,96,Box Score,,14516,,0
Tue Nov 16 2010,7:00p,Philadelphia 76ers,93,Cleveland Cavaliers,101,Box Score,,20562,,1
Tue Nov 16 2010,7:00p,Atlanta Hawks,102,Indiana Pacers,92,Box Score,,11133,,0
Tue Nov 16 2010,7:00p,Toronto Raptors,94,Washington Wizards,109,Box Score,,11513,,1
Tue Nov 16 2010,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,99,Box Score,,10827,,0
Tue Nov 16 2010,8:00p,Los Angeles Lakers,118,Milwaukee Bucks,107,Box Score,,18059,,0
Tue Nov 16 2010,8:30p,Chicago Bulls,95,Houston Rockets,92,Box Score,,18158,,0
Tue Nov 16 2010,9:00p,New York Knicks,118,Denver Nuggets,120,Box Score,,15190,,1
Wed Nov 17 2010,7:00p,Phoenix Suns,96,Miami Heat,123,Box Score,,19600,,1
Wed Nov 17 2010,7:00p,Toronto Raptors,94,Philadelphia 76ers,86,Box Score,,12164,,0
Wed Nov 17 2010,7:30p,Washington Wizards,83,Boston Celtics,114,Box Score,,18624,,1
Wed Nov 17 2010,7:30p,Los Angeles Lakers,103,Detroit Pistons,90,Box Score,,20284,,0
Wed Nov 17 2010,8:00p,Los Angeles Clippers,111,Minnesota Timberwolves,113,Box Score,,12909,,1
Wed Nov 17 2010,8:00p,Dallas Mavericks,97,New Orleans Hornets,99,Box Score,,13828,,1
Wed Nov 17 2010,8:00p,Houston Rockets,99,Oklahoma City Thunder,116,Box Score,,17509,,1
Wed Nov 17 2010,9:00p,New Jersey Nets,88,Utah Jazz,98,Box Score,,19314,,1
Wed Nov 17 2010,9:30p,Chicago Bulls,94,San Antonio Spurs,103,Box Score,,18581,,1
Wed Nov 17 2010,10:00p,New York Knicks,113,Sacramento Kings,106,Box Score,,12817,,0
Thu Nov 18 2010,7:00p,Los Angeles Clippers,80,Indiana Pacers,107,Box Score,,12459,,1
Thu Nov 18 2010,8:00p,Phoenix Suns,89,Orlando Magic,105,Box Score,,18846,,1
Thu Nov 18 2010,10:30p,Denver Nuggets,83,Portland Trail Blazers,86,Box Score,,20532,,1
Fri Nov 19 2010,7:00p,Oklahoma City Thunder,89,Boston Celtics,84,Box Score,,18624,,0
Fri Nov 19 2010,7:00p,Milwaukee Bucks,79,Philadelphia 76ers,90,Box Score,,14557,,1
Fri Nov 19 2010,7:00p,Houston Rockets,96,Toronto Raptors,106,Box Score,,17369,,1
Fri Nov 19 2010,7:00p,Memphis Grizzlies,86,Washington Wizards,89,Box Score,,13504,,1
